City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.58,63,3,2.49,SH,1729042721
1,port-aux-francais,-49.35,70.2167,0.92,66,74,16.03,TF,1729042723
2,mayya,61.7333,130.2811,-2.22,74,50,1.44,RU,1729042724
3,saipan,15.1355,145.701,30.39,79,40,0.0,MP,1729042725
4,floro,61.5996,5.0328,9.98,71,100,9.26,NO,1729042726
5,cherepovets,59.1333,37.9,4.53,89,96,3.2,RU,1729042727
6,ust'-ordynskiy,52.805,104.7508,-0.71,66,89,1.42,RU,1729042728
7,gadzhiyevo,69.2551,33.3362,2.44,86,7,7.21,RU,1729042730
8,albany,42.6001,-73.9662,6.0,78,53,5.82,US,1729042519
9,puerto natales,-51.7236,-72.4875,4.3,88,30,1.89,CL,1729042732
10,bethel,41.3712,-73.414,7.53,76,6,0.45,US,1729042733
11,tiksi,71.6872,128.8694,-14.01,90,84,3.29,RU,1729042734
12,ancud,-41.8697,-73.8203,8.47,85,98,2.09,CL,1729042735
13,erenhot,43.6475,111.9767,11.39,52,0,2.9,CN,1729042736
14,utrik,11.2278,169.8474,28.6,79,95,7.25,MH,1729042737
15,ravar,31.2656,56.8055,20.71,23,5,1.44,IR,1729042536
16,waitangi,-43.9535,-176.5597,11.01,70,68,3.13,NZ,1729042740
17,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1729042741
18,adamstown,-25.066,-130.1015,21.34,87,97,6.96,PN,1729042742
19,fort bragg,35.139,-79.006,15.75,71,100,1.34,US,1729042743
20,blackmans bay,-43.0167,147.3167,19.29,45,75,3.13,AU,1729042744
21,ebolowa,2.9,11.15,19.54,100,100,0.73,CM,1729042745
22,thompson,55.7435,-97.8558,6.09,70,40,2.57,CA,1729042746
23,zambezi,-13.5432,23.1047,18.75,72,12,1.89,ZM,1729042747
24,afaahiti,-17.75,-149.2833,23.57,74,54,3.24,PF,1729042749
25,martapura,-3.4167,114.85,26.05,89,40,3.6,ID,1729042750
26,tazovsky,67.4667,78.7,-10.97,76,90,4.69,RU,1729042563
27,stanley,54.868,-1.6985,11.27,94,75,1.54,GB,1729042467
28,aykhal,66.0,111.5,-15.27,95,100,10.94,RU,1729042753
29,port macquarie,-31.4333,152.9167,18.37,74,100,0.89,AU,1729042754
30,rio grande,-32.035,-52.0986,18.58,97,70,2.34,BR,1729042755
